OMIM:142900	Holt-Oram syndrome		HP:0011939	PMID:10842287	PCS		1/3			P	HPO:probinson[2024-07-22]
OMIM:142900	Holt-Oram syndrome		HP:0001674	PMID:17534187;PMID:34490705;PMID:25216260;PMID:15710732;PMID:30538526;PMID:24408148;PMID:20519243;PMID:27026770;PMID:33866394;PMID:18351627;PMID:22190901;PMID:12789647;PMID:12818525;PMID:18828908;PMID:26401820;PMID:29755943;PMID:26219450;PMID:28434921;PMID:16917909;PMID:10842287	PCS		9/103			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000343	PMID:18828908	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000185	PMID:26219450	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0004383	OMIM:142900	IEA					P	HPO:skoehler[2010-06-20]
OMIM:142900	Holt-Oram syndrome		HP:0100398	PMID:18351627	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011636	PMID:16917909	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011995	PMID:18706711	PCS		4/4			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0001709	PMID:33866394	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0010034	PMID:18351627	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0030241	PMID:12818525	PCS		6/6			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001704	PMID:16917909	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000218	PMID:18706711	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0009829	OMIM:142900	IEA					P	HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0003982	PMID:20519243;PMID:8730285	PCS		5/56			P	HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001684	PMID:17534187;PMID:34490705;PMID:25216260;PMID:15710732;PMID:30538526;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:12789647;PMID:27652283;PMID:27552067;PMID:26401820;PMID:8730285;PMID:36444245;PMID:29755943;PMID:26219450;PMID:28434921;PMID:16917909	PCS		47/130			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001162	PMID:18706711	PCS		3/4			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0000470	PMID:18706711	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0002092	PMID:12789647;PMID:34490705;PMID:25216260;PMID:30538526;PMID:18706711;PMID:28434921;PMID:33866394;PMID:16917909	PCS		8/16			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011623	PMID:17534187;PMID:34490705;PMID:25216260;PMID:30538526;PMID:20519243;PMID:27026770;PMID:33866394;PMID:18351627;PMID:12789647;PMID:12818525;PMID:18828908;PMID:29755943;PMID:28434921;PMID:16917909;PMID:10842287	PCS		14/80			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001719	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001159	PMID:8730285	PCS		7/55			P	HPO:iea[2018-03-13]
OMIM:142900	Holt-Oram syndrome		HP:0003974	PMID:17534187;PMID:34490705;PMID:25216260;PMID:15710732;PMID:20519243;PMID:27026770;PMID:33866394;PMID:12789647;PMID:27652283;PMID:8730285;PMID:36444245;PMID:28434921;PMID:26219450;PMID:16917909	PCS		28/123			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000347	PMID:18828908;PMID:26219450	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001377	PMID:8730285;PMID:33866394	PCS		30/56			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13]
OMIM:142900	Holt-Oram syndrome		HP:0004762	PMID:20519243	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0003031	PMID:10842287	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0010487	PMID:12789647	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0006394	PMID:16917909	PCS		5/5			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000954	PMID:22190901	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0006156	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009944	OMIM:142900	IEA					P	HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0001643	PMID:22190901;PMID:10077612;PMID:34490705;PMID:25216260;PMID:27552067;PMID:8730285;PMID:16917909	PCS		9/53			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001642	PMID:17534187	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0004756	PMID:20519243	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0002974	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009824	PMID:18706711	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0003042	PMID:24408148	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011567	PMID:22190901	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011565	PMID:25216260;PMID:15710732;PMID:24408148;PMID:27026770;PMID:18351627;PMID:27652283;PMID:26401820;PMID:29755943;PMID:26219450;PMID:16917909;PMID:10842287;PMID:17534187;PMID:10077612;PMID:34490705;PMID:30538526;PMID:18706711;PMID:20519243;PMID:33866394;PMID:22190901;PMID:12789647;PMID:12818525;PMID:18828908;PMID:27552067;PMID:36444245;PMID:28434921	PCS		1/153			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0005180	PMID:34490705;PMID:27652283;PMID:26219450	PCS		5/5			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0034198	PMID:27026770	PCS		1/2			C	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0009777	PMID:17534187;PMID:10077612;PMID:34490705;PMID:25216260;PMID:15710732;PMID:30538526;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:12789647;PMID:12818525;PMID:27652283;PMID:26401820;PMID:8730285;PMID:36444245;PMID:29755943;PMID:28434921;PMID:26219450;PMID:16917909;PMID:10842287	PCS		59/186			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009535	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009812	PMID:10077612;PMID:17534187;PMID:15710732;PMID:34490705;PMID:25216260;PMID:30538526;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:22190901;PMID:12789647;PMID:12818525;PMID:27652283;PMID:18828908;PMID:27552067;PMID:26401820;PMID:29755943;PMID:28434921;PMID:26219450;PMID:10842287;PMID:16917909	PCS		1/151			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0002986	PMID:10842287	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001653	PMID:17534187;PMID:16917909	PCS		4/4			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000960	PMID:22190901	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009778	PMID:17534187;PMID:10077612;PMID:34490705;PMID:25216260;PMID:15710732;PMID:30538526;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:12789647;PMID:12818525;PMID:27652283;PMID:26401820;PMID:29755943;PMID:26219450;PMID:28434921;PMID:16917909;PMID:10842287	PCS		32/98			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0003834	PMID:33866394	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0002984	OMIM:142900;PMID:17534187;PMID:10077612;PMID:34490705;PMID:30538526;PMID:18706711;PMID:27026770;PMID:33866394;PMID:12789647;PMID:12818525;PMID:27552067;PMID:26219450;PMID:16917909	PCS		64/144			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001655	PMID:17534187;PMID:34490705;PMID:25216260;PMID:15710732;PMID:24408148;PMID:20519243;PMID:27026770;PMID:33866394;PMID:18351627;PMID:22190901;PMID:12789647;PMID:12818525;PMID:27652283;PMID:18828908;PMID:26401820;PMID:29755943;PMID:26219450;PMID:28434921;PMID:16917909;PMID:10842287	PCS		4/103			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009813	PMID:17534187;PMID:10077612;PMID:34490705;PMID:15710732;PMID:25216260;PMID:30538526;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:22190901;PMID:12789647;PMID:12818525;PMID:27652283;PMID:18828908;PMID:27552067;PMID:26401820;PMID:29755943;PMID:28434921;PMID:26219450;PMID:10842287;PMID:16917909	PCS		10/153			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001199	PMID:17534187;PMID:10077612;PMID:34490705;PMID:25216260;PMID:15710732;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:33866394;PMID:18351627;PMID:22190901;PMID:12789647;PMID:12818525;PMID:27652283;PMID:27552067;PMID:26401820;PMID:8730285;PMID:29755943;PMID:28434921;PMID:26219450;PMID:16917909;PMID:10842287	PCS		46/186			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001233	PMID:33866394	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0004220	PMID:17534187;PMID:18351627	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0005792	PMID:17534187;PMID:12789647;PMID:34490705;PMID:15710732;PMID:27652283;PMID:30538526;PMID:27552067;PMID:18706711;PMID:8730285;PMID:33866394;PMID:16917909	PCS		40/85			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001191	OMIM:142900;PMID:10077612;PMID:27026770	PCS		40/42			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0030718	PMID:18706711	PCS		4/4			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0001629	PMID:17534187;PMID:10077612;PMID:34490705;PMID:15710732;PMID:24408148;PMID:20519243;PMID:18706711;PMID:27026770;PMID:22190901;PMID:12789647;PMID:27652283;PMID:27552067;PMID:26401820;PMID:8730285;PMID:36444245;PMID:26219450;PMID:16917909	PCS		56/125			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011682	PMID:17534187;PMID:34490705;PMID:25216260;PMID:30538526;PMID:20519243;PMID:27026770;PMID:33866394;PMID:18351627;PMID:12789647;PMID:12818525;PMID:18828908;PMID:29755943;PMID:28434921;PMID:16917909;PMID:10842287	PCS		9/80			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009486	PMID:26219450	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0000774	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000894	PMID:18828908;PMID:8730285	PCS		41/56			P	HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011709	PMID:16917909	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001245	OMIM:142900	PCS		42/55			P	HPO:iea[2018-03-13]
OMIM:142900	Holt-Oram syndrome		HP:0003022	PMID:12789647;PMID:34490705;PMID:30538526;PMID:8730285;PMID:33866394	PCS		25/82			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011705	PMID:22190901;PMID:16917909	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0031134	PMID:34490705	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011664	PMID:34490705;PMID:26401820;PMID:29755943;PMID:10842287	PCS		2/12			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009751	PMID:8730285	PCS		34/55			P	HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0000268	PMID:22190901	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001631	PMID:17534187;PMID:10077612;PMID:12789647;PMID:25216260;PMID:12818525;PMID:18828908;PMID:20519243;PMID:29755943;PMID:33866394;PMID:16917909;PMID:10842287	PCS		50/52			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001634	PMID:16917909;PMID:18351627	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
